Path object_type object_name object_size parant_directory
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\jinja2\__pycache__" File __init__.cpython-310.pyc 1623 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\Jinja2-3.1.2.dist-info" File WHEEL 92 Jinja2-3.1.2.dist-info
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\markupsafe" Directory __pycache__ 13298 markupsafe
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\markupsafe\__pycache__" File __init__.cpython-310.pyc 11275 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\MarkupSafe-2.1.3.dist-info" File WHEEL 102 MarkupSafe-2.1.3.dist-info
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip" Directory __pycache__ 2904 pip
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal" Directory __pycache__ 77034 _internal
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\cli" Directory __pycache__ 70873 cli
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\cli\__pycache__" File __init__.cpython-310.pyc 289 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\commands" Directory __pycache__ 100122 commands
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\commands\__pycache__" File __init__.cpython-310.pyc 3268 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\distributions" Directory __pycache__ 10661 distributions
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\distributions\__pycache__" File __init__.cpython-310.pyc 816 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\index" Directory __pycache__ 52159 index
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\index\__pycache__" File __init__.cpython-310.pyc 243 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\locations" Directory __pycache__ 24085 locations
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\locations\__pycache__" File __init__.cpython-310.pyc 11045 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\metadata" Directory __pycache__ 43816 metadata
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\metadata\importlib" Directory __pycache__ 19744 importlib
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\metadata\importlib\__pycache__" File __init__.cpython-310.pyc 334 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\metadata\__pycache__" File __init__.cpython-310.pyc 4747 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\models" Directory __pycache__ 46020 models
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\models\__pycache__" File __init__.cpython-310.pyc 277 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\network" Directory __pycache__ 45179 network
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\network\__pycache__" File __init__.cpython-310.pyc 265 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\operations" Directory __pycache__ 25543 operations
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\operations\build" Directory __pycache__ 15332 build
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\operations\build\__pycache__" File __init__.cpython-310.pyc 219 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\operations\install" Directory __pycache__ 26366 install
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\operations\install\__pycache__" File __init__.cpython-310.pyc 277 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\operations\__pycache__" File __init__.cpython-310.pyc 213 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\req" Directory __pycache__ 76070 req
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\req\__pycache__" File __init__.cpython-310.pyc 2620 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\resolution" Directory __pycache__ 1278 resolution
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\resolution\legacy" Directory __pycache__ 15186 legacy
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\resolution\legacy\__pycache__" File __init__.cpython-310.pyc 220 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\resolution\resolvelib" Directory __pycache__ 75868 resolvelib
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\__pycache__" File __init__.cpython-310.pyc 224 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\resolution\__pycache__" File __init__.cpython-310.pyc 213 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\utils" Directory __pycache__ 107249 utils
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\utils\__pycache__" File __init__.cpython-310.pyc 208 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\vcs" Directory __pycache__ 51295 vcs
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\vcs\__pycache__" File __init__.cpython-310.pyc 531 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_internal\__pycache__" File __init__.cpython-310.pyc 769 __pycache__
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor" Directory __pycache__ 95794 _vendor
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\cachecontrol" Directory __pycache__ 30110 cachecontrol
"D:\Рабочий стол\Обучение GB\Python-fin\venv\Lib\site-packages\pip\_vendor\cachecontrol\caches" Directory __pycache__ 6992 caches
